university,variable,dimension,raw_score,max_score,weight
Monash,P3,Policy & Regulatory,2,2,1
Monash,P4,Policy & Regulatory,1,2,1
UNSW,EA1,Emissions Accounting,2,2,1
UNSW,EA2,Emissions Accounting,3,3,2
UNSW,EA3,Emissions Accounting,2,2,1.5
UNSW,EA4,Emissions Accounting,1,2,2
UNSW,EA5,Emissions Accounting,1,2,1.5
UNSW,G1,Governance,2,2,1.5
UNSW,G2,Governance,2,2,2
UNSW,G3,Governance,1,2,1.5
UNSW,G4,Governance,1,2,1
UNSW,G5,Governance,0,3,1
UNSW,O1,Operational Autonomy,1,2,2
UNSW,O2,Operational Autonomy,0,2,2
UNSW,O3,Operational Autonomy,1,2,1.5
UNSW,O4,Operational Autonomy,2,2,1
UNSW,P1,Policy & Regulatory,2,2,1.5
UNSW,P2,Policy & Regulatory,1,2,1
UNSW,P3,Policy & Regulatory,2,2,1
UNSW,P4,Policy & Regulatory,2,2,1
